customer_id,company_name,amount_billed,billing_date,payment_status
35,"Tanner, Rodriguez and Glover",8391.0,2025-03-02,OVERDUE
11,"Johnston, Jackson and Day",9312.0,2025-02-24,PAID
3,"Reyes, Moore and Waller",3994.0,2025-02-13,PAID
12,"Gardner, Boone and Moody",2375.0,2025-02-10,PAID
8,White-Schultz,7128.0,2025-04-07,PAID
38,"Gray PLC",5663.0,2025-03-08,INVOICED
26,"Graham LLC",1088.0,2025-05-08,INVOICED
7,"Torres, Parker and Jordan",7509.0,2025-04-27,OVERDUE
28,"Rush, Perkins and Krueger",9635.0,2025-01-21,OVERDUE
44,"Barnes, Cain and Jefferson",7526.0,2025-05-29,INVOICED
37,"Mccarthy, Romero and Sexton",5226.0,2025-04-15,OVERDUE
46,Allen-Sexton,7860.0,2025-04-24,INVOICED
16,"Reed LLC",6545.0,2025-05-25,PAID
10,"Mejia LLC",4658.0,2025-03-07,OVERDUE
27,"Hill, Yang and Shaw",4929.0,2025-01-28,INVOICED
36,King-Valdez,3982.0,2025-01-22,OVERDUE
18,"Liu, Mayo and Adams",6485.0,2025-05-23,INVOICED
2,"Duke, Roberts and Robinson",3383.0,2025-01-28,PAID
4,Mcbride-Cole,3981.0,2025-05-08,INVOICED
48,Brown-Brown,3264.0,2025-05-25,OVERDUE
39,Hart-Hinton,7820.0,2025-01-08,OVERDUE
43,Medina-Davis,1119.0,2025-05-30,INVOICED
24,"Harvey, Frost and Thomas",6392.0,2025-03-30,OVERDUE
1,Duncan-Martinez,7676.0,2025-05-26,INVOICED
45,"Kirby Ltd",5634.0,2025-05-05,PAID
20,"Barnes Group",2976.0,2025-05-05,INVOICED
42,Hill-Mason,3000.0,2025-05-30,PAID
50,"Mccarthy PLC",5563.0,2025-03-20,OVERDUE
23,"Montes, Simpson and Juarez",5059.0,2025-02-15,OVERDUE
21,"Moran Inc",5107.0,2025-03-26,INVOICED
49,Salinas-Anderson,9075.0,2025-02-22,PAID
15,Turner-Hernandez,4836.0,2025-02-10,INVOICED
31,"Velasquez Inc",8894.0,2025-03-23,PAID
5,Walker-Benton,5965.0,2025-05-11,OVERDUE
