customer_id,full_name,email,sales_status,region,lead_source,won_date,plan_type,count_of_complaints_per_customer
46,Allen-Sexton,,WON,North,"cold call",2024-09-30,"PLAN 8",1
20,"Barnes Group",,NEW,North,email,--,"PLAN 8",0
20,"Barnes Group",,WON,East,form,2025-03-18,"PLAN 7",0
48,Brown-Brown,,WON,North,email,2025-04-25,"PLAN 8",1
48,Brown-Brown,,NEW,North,email,--,"PLAN 6",1
6,"Burns Inc",,LOST,North,form,--,"PLAN 8",1
6,"Burns Inc",,WORKING,East,website,--,"PLAN 5",1
9,"Garcia, Mcdaniel and Smith",,LOST,North,form,--,"PLAN 8",0
9,"Garcia, Mcdaniel and Smith",,LOST,South,"cold call",--,"PLAN 8",0
12,"Gardner, Boone and Moody",,WON,West,partner,2024-10-02,"PLAN 8",1
12,"Gardner, Boone and Moody",,NEW,East,partner,--,"PLAN 4",1
26,"Graham LLC",,WON,East,"cold call",2025-02-01,"PLAN 4",0
38,"Gray PLC",,WON,East,"cold call",2025-02-21,"PLAN 7",0
39,Hart-Hinton,,NEW,South,partner,--,"PLAN 8",2
39,Hart-Hinton,,WON,East,"cold call",2024-12-08,"PLAN 1",2
42,Hill-Mason,,WORKING,South,"cold call",--,"PLAN 4",1
42,Hill-Mason,,WON,West,form,2025-03-10,"PLAN 7",1
42,Hill-Mason,,LOST,West,website,--,"PLAN 6",1
33,Ibarra-Sanchez,,NEW,West,website,--,"PLAN 6",1
32,"Johnson, Morrow and Ferguson",,LOST,South,website,--,"PLAN 5",0
36,King-Valdez,,WON,West,"cold call",2025-02-23,"PLAN 2",0
45,"Kirby Ltd",,WORKING,North,"cold call",--,"PLAN 3",0
45,"Kirby Ltd",,WON,East,"cold call",2024-10-20,"PLAN 3",0
22,"Lang PLC",,WORKING,East,"cold call",--,"PLAN 7",1
22,"Lang PLC",,NEW,North,"cold call",--,"PLAN 3",1
18,"Liu, Mayo and Adams",,WON,West,form,2025-04-23,"PLAN 5",2
4,Mcbride-Cole,,WON,East,partner,2025-05-08,"PLAN 3",0
50,"Mccarthy PLC",,WON,North,website,2025-02-20,"PLAN 6",0
50,"Mccarthy PLC",,LOST,North,partner,--,"PLAN 6",0
37,"Mccarthy, Romero and Sexton",,WON,South,email,2024-12-17,"PLAN 2",0
43,Medina-Davis,,WORKING,East,email,--,"PLAN 4",0
43,Medina-Davis,,WON,East,"cold call",2025-03-30,"PLAN 1",0
47,"Mills Ltd",,NEW,South,partner,--,"PLAN 6",0
47,"Mills Ltd",,LOST,North,partner,--,"PLAN 1",0
23,"Montes, Simpson and Juarez",,WON,West,website,2025-01-15,"PLAN 3",0
21,"Moran Inc",,WON,East,partner,2025-02-26,"PLAN 1",0
21,"Moran Inc",,LOST,West,website,--,"PLAN 3",0
16,"Reed LLC",,WON,North,email,2024-08-14,"PLAN 6",0
3,"Reyes, Moore and Waller",,WON,East,partner,2025-01-15,"PLAN 7",1
3,"Reyes, Moore and Waller",,LOST,West,email,--,"PLAN 8",1
3,"Reyes, Moore and Waller",,NEW,East,form,--,"PLAN 3",1
28,"Rush, Perkins and Krueger",,WON,East,partner,2024-09-06,"PLAN 2",0
49,Salinas-Anderson,,WON,East,form,2025-01-22,"PLAN 4",0
19,"Smith LLC",,NEW,West,partner,--,"PLAN 4",0
7,"Torres, Parker and Jordan",,WON,East,website,2025-01-15,"PLAN 2",1
15,Turner-Hernandez,,WORKING,South,form,--,"PLAN 3",0
15,Turner-Hernandez,,WON,West,website,2025-01-10,"PLAN 7",0
31,"Velasquez Inc",,WON,North,"cold call",2025-02-23,"PLAN 1",0
5,Walker-Benton,,LOST,West,website,--,"PLAN 7",0
5,Walker-Benton,,WON,North,email,2025-04-11,"PLAN 1",0
1,Duncan-Martinez,,WON,East,email,2025-01-01,"PLAN 2",0
35,"Tanner, Rodriguez and Glover",,WON,North,"cold call",2025-02-02,"PLAN 8",1
11,"Johnston, Jackson and Day",,WON,West,partner,2024-12-01,"PLAN 8",0
8,White-Schultz,,WON,South,website,2025-02-03,"PLAN 4",0
44,"Barnes, Cain and Jefferson",,WON,South,form,2025-05-29,"PLAN 5",0
10,"Mejia LLC",,WON,West,partner,2025-03-07,"PLAN 2",0
27,"Hill, Yang and Shaw",,WON,North,email,2025-01-28,"PLAN 3",0
2,"Duke, Roberts and Robinson",,WON,West,website,2024-12-28,"PLAN 7",0
24,"Harvey, Frost and Thomas",,WON,West,partner,2025-02-30,"PLAN 1",0
